"Date","Candidate","AverageScore"
"2024-01-02T00:00:00Z","Biden","40.67"
"2024-01-02T00:00:00Z","Trump","43.9"
"2024-01-02T00:00:00Z","Kennedy","10.5"
"2024-01-03T00:00:00Z","Biden","40.08"
"2024-01-03T00:00:00Z","Trump","44.18"
"2024-01-03T00:00:00Z","Kennedy","12.75"
"2024-01-04T00:00:00Z","Biden","42.67"
"2024-01-04T00:00:00Z","Trump","43"
"2024-01-04T00:00:00Z","Kennedy","9"
"2024-01-05T00:00:00Z","Biden","42.37"
"2024-01-05T00:00:00Z","Trump","43.73"
"2024-01-05T00:00:00Z","Kennedy","4.8"
"2024-01-06T00:00:00Z","Biden","44.05"
"2024-01-06T00:00:00Z","Trump","44.85"
"2024-01-07T00:00:00Z","Biden","41.2"
"2024-01-07T00:00:00Z","Trump","44.67"
"2024-01-08T00:00:00Z","Biden","43"
"2024-01-08T00:00:00Z","Trump","42"
"2024-01-09T00:00:00Z","Biden","39.5"
"2024-01-09T00:00:00Z","Trump","43"
"2024-01-10T00:00:00Z","Biden","43.5"
"2024-01-10T00:00:00Z","Trump","43"
"2024-01-11T00:00:00Z","Biden","42.35"
"2024-01-11T00:00:00Z","Trump","45.28"
"2024-01-11T00:00:00Z","Kennedy","8.05"
"2024-01-12T00:00:00Z","Biden","41"
"2024-01-12T00:00:00Z","Trump","44"
"2024-01-13T00:00:00Z","Biden","40.95"
"2024-01-13T00:00:00Z","Trump","45.8"
"2024-01-13T00:00:00Z","Kennedy","4.6"
"2024-01-14T00:00:00Z","Biden","43"
"2024-01-14T00:00:00Z","Trump","43"
"2024-01-14T00:00:00Z","Kennedy","13"
"2024-01-15T00:00:00Z","Biden","43.33"
"2024-01-15T00:00:00Z","Trump","43"
"2024-01-15T00:00:00Z","Kennedy","12"
"2024-01-16T00:00:00Z","Biden","41.21"
"2024-01-16T00:00:00Z","Trump","45.16"
"2024-01-16T00:00:00Z","Kennedy","9.67"
"2024-01-17T00:00:00Z","Biden","40.13"
"2024-01-17T00:00:00Z","Trump","43.54"
"2024-01-17T00:00:00Z","Kennedy","14.75"
"2024-01-18T00:00:00Z","Biden","41"
"2024-01-18T00:00:00Z","Trump","43"
"2024-01-19T00:00:00Z","Biden","42"
"2024-01-19T00:00:00Z","Trump","46.33"
"2024-01-20T00:00:00Z","Biden","40"
"2024-01-20T00:00:00Z","Trump","45"
"2024-01-21T00:00:00Z","Biden","41.5"
"2024-01-21T00:00:00Z","Trump","44.5"
"2024-01-21T00:00:00Z","Kennedy","7"
"2024-01-22T00:00:00Z","Biden","40.67"
"2024-01-22T00:00:00Z","Trump","43.4"
"2024-01-22T00:00:00Z","Kennedy","8"
"2024-01-23T00:00:00Z","Biden","42.67"
"2024-01-23T00:00:00Z","Trump","45.4"
"2024-01-23T00:00:00Z","Kennedy","18"
"2024-01-24T00:00:00Z","Biden","40.75"
"2024-01-24T00:00:00Z","Trump","43.8"
"2024-01-24T00:00:00Z","Kennedy","14.5"
"2024-01-25T00:00:00Z","Biden","41.3"
"2024-01-25T00:00:00Z","Trump","44.86"
"2024-01-25T00:00:00Z","Kennedy","13.25"
"2024-01-26T00:00:00Z","Biden","39.69"
"2024-01-26T00:00:00Z","Trump","44.14"
"2024-01-26T00:00:00Z","Kennedy","10.51"
"2024-01-27T00:00:00Z","Biden","43"
"2024-01-27T00:00:00Z","Trump","44"
"2024-01-28T00:00:00Z","Biden","42"
"2024-01-28T00:00:00Z","Trump","43.5"
"2024-01-29T00:00:00Z","Biden","42.67"
"2024-01-29T00:00:00Z","Trump","45.67"
"2024-01-30T00:00:00Z","Biden","40"
"2024-01-30T00:00:00Z","Trump","43.33"
"2024-01-30T00:00:00Z","Kennedy","16"
"2024-01-31T00:00:00Z","Biden","41.8"
"2024-01-31T00:00:00Z","Trump","43.63"
"2024-01-31T00:00:00Z","Kennedy","9"
"2024-02-01T00:00:00Z","Biden","41"
"2024-02-01T00:00:00Z","Trump","44"
"2024-02-01T00:00:00Z","Kennedy","10"
"2024-02-02T00:00:00Z","Biden","41.04"
"2024-02-02T00:00:00Z","Trump","44.43"
"2024-02-02T00:00:00Z","Kennedy","7.26"
"2024-02-03T00:00:00Z","Biden","41"
"2024-02-03T00:00:00Z","Trump","44"
"2024-02-04T00:00:00Z","Biden","41.5"
"2024-02-04T00:00:00Z","Trump","44.5"
"2024-02-05T00:00:00Z","Biden","40.4"
"2024-02-05T00:00:00Z","Trump","45"
"2024-02-05T00:00:00Z","Kennedy","14.5"
"2024-02-06T00:00:00Z","Biden","41.48"
"2024-02-06T00:00:00Z","Trump","43.64"
"2024-02-06T00:00:00Z","Kennedy","9.5"
"2024-02-07T00:00:00Z","Biden","41"
"2024-02-07T00:00:00Z","Trump","44"
"2024-02-08T00:00:00Z","Biden","41.29"
"2024-02-08T00:00:00Z","Trump","44.75"
"2024-02-08T00:00:00Z","Kennedy","15.25"
"2024-02-09T00:00:00Z","Biden","41.7"
"2024-02-09T00:00:00Z","Trump","44.75"
"2024-02-09T00:00:00Z","Kennedy","5.6"
"2024-02-10T00:00:00Z","Biden","42.93"
"2024-02-10T00:00:00Z","Trump","44.5"
"2024-02-10T00:00:00Z","Kennedy","8"
"2024-02-11T00:00:00Z","Biden","42"
"2024-02-11T00:00:00Z","Trump","43.67"
"2024-02-12T00:00:00Z","Biden","41.19"
"2024-02-12T00:00:00Z","Trump","45.54"
"2024-02-12T00:00:00Z","Kennedy","9.57"
"2024-02-13T00:00:00Z","Biden","40.33"
"2024-02-13T00:00:00Z","Trump","44.56"
"2024-02-13T00:00:00Z","Kennedy","9.35"
"2024-02-14T00:00:00Z","Biden","40.06"
"2024-02-14T00:00:00Z","Trump","45.68"
"2024-02-14T00:00:00Z","Kennedy","6.13"
"2024-02-15T00:00:00Z","Biden","41"
"2024-02-15T00:00:00Z","Trump","45"
"2024-02-15T00:00:00Z","Kennedy","19.5"
"2024-02-16T00:00:00Z","Biden","40.45"
"2024-02-16T00:00:00Z","Trump","46.11"
"2024-02-16T00:00:00Z","Kennedy","7.13"
"2024-02-17T00:00:00Z","Biden","38.67"
"2024-02-17T00:00:00Z","Trump","42.33"
"2024-02-18T00:00:00Z","Biden","40.5"
"2024-02-18T00:00:00Z","Trump","43.5"
"2024-02-18T00:00:00Z","Kennedy","16.5"
"2024-02-19T00:00:00Z","Biden","41.88"
"2024-02-19T00:00:00Z","Trump","44.23"
"2024-02-19T00:00:00Z","Kennedy","10.65"
"2024-02-20T00:00:00Z","Biden","40.7"
"2024-02-20T00:00:00Z","Trump","43.79"
"2024-02-20T00:00:00Z","Kennedy","8.9"
"2024-02-21T00:00:00Z","Biden","41"
"2024-02-21T00:00:00Z","Trump","44.17"
"2024-02-21T00:00:00Z","Kennedy","14.67"
"2024-02-22T00:00:00Z","Biden","40.83"
"2024-02-22T00:00:00Z","Trump","43.8"
"2024-02-22T00:00:00Z","Kennedy","11"
"2024-02-23T00:00:00Z","Biden","41.8"
"2024-02-23T00:00:00Z","Trump","44.5"
"2024-02-24T00:00:00Z","Biden","40.5"
"2024-02-24T00:00:00Z","Trump","43.5"
"2024-02-24T00:00:00Z","Kennedy","10.2"
"2024-02-25T00:00:00Z","Biden","41"
"2024-02-25T00:00:00Z","Trump","46.33"
"2024-02-25T00:00:00Z","Kennedy","14.5"
"2024-02-26T00:00:00Z","Biden","42"
"2024-02-26T00:00:00Z","Trump","45.83"
"2024-02-26T00:00:00Z","Kennedy","8.2"
"2024-02-27T00:00:00Z","Biden","42.43"
"2024-02-27T00:00:00Z","Trump","43.7"
"2024-02-27T00:00:00Z","Kennedy","12"
"2024-02-28T00:00:00Z","Biden","41"
"2024-02-28T00:00:00Z","Trump","43"
"2024-02-28T00:00:00Z","Kennedy","9"
"2024-02-29T00:00:00Z","Biden","40.84"
"2024-02-29T00:00:00Z","Trump","43.87"
"2024-03-01T00:00:00Z","Biden","44"
"2024-03-01T00:00:00Z","Trump","43"
"2024-03-02T00:00:00Z","Biden","41.5"
"2024-03-02T00:00:00Z","Trump","43"
"2024-03-02T00:00:00Z","Kennedy","9"
"2024-03-03T00:00:00Z","Biden","41.75"
"2024-03-03T00:00:00Z","Trump","43.5"
"2024-03-04T00:00:00Z","Biden","42"
"2024-03-04T00:00:00Z","Trump","44"
"2024-03-05T00:00:00Z","Biden","40.53"
"2024-03-05T00:00:00Z","Trump","44.85"
"2024-03-05T00:00:00Z","Kennedy","5.7"
"2024-03-06T00:00:00Z","Biden","40.27"
"2024-03-06T00:00:00Z","Trump","44.4"
"2024-03-06T00:00:00Z","Kennedy","13"
"2024-03-07T00:00:00Z","Biden","42.23"
"2024-03-07T00:00:00Z","Trump","45.87"
"2024-03-07T00:00:00Z","Kennedy","10.54"
"2024-03-08T00:00:00Z","Biden","40.55"
"2024-03-08T00:00:00Z","Trump","44.43"
"2024-03-08T00:00:00Z","Kennedy","8.74"
"2024-03-09T00:00:00Z","Biden","44"
"2024-03-09T00:00:00Z","Trump","45.33"
"2024-03-09T00:00:00Z","Kennedy","12"
"2024-03-10T00:00:00Z","Biden","42.07"
"2024-03-10T00:00:00Z","Trump","43.57"
"2024-03-10T00:00:00Z","Kennedy","5.4"
"2024-03-11T00:00:00Z","Biden","41.52"
"2024-03-11T00:00:00Z","Trump","44.28"
"2024-03-11T00:00:00Z","Kennedy","10"
"2024-03-12T00:00:00Z","Biden","43.49"
"2024-03-12T00:00:00Z","Trump","44.97"
"2024-03-12T00:00:00Z","Kennedy","7.65"
"2024-03-13T00:00:00Z","Biden","42.11"
"2024-03-13T00:00:00Z","Trump","42.2"
"2024-03-13T00:00:00Z","Kennedy","16"
"2024-03-14T00:00:00Z","Biden","40.52"
"2024-03-14T00:00:00Z","Trump","43.84"
"2024-03-14T00:00:00Z","Kennedy","7.72"
"2024-03-15T00:00:00Z","Biden","42.77"
"2024-03-15T00:00:00Z","Trump","45.27"
"2024-03-15T00:00:00Z","Kennedy","11"
"2024-03-16T00:00:00Z","Biden","43.32"
"2024-03-16T00:00:00Z","Trump","45.42"
"2024-03-16T00:00:00Z","Kennedy","2"
"2024-03-17T00:00:00Z","Biden","41.06"
"2024-03-17T00:00:00Z","Trump","44.65"
"2024-03-17T00:00:00Z","Kennedy","10.43"
"2024-03-18T00:00:00Z","Biden","41.2"
"2024-03-18T00:00:00Z","Trump","44.71"
"2024-03-18T00:00:00Z","Kennedy","13"
"2024-03-19T00:00:00Z","Biden","43"
"2024-03-19T00:00:00Z","Trump","42"
"2024-03-20T00:00:00Z","Biden","40.83"
"2024-03-20T00:00:00Z","Trump","43.57"
"2024-03-20T00:00:00Z","Kennedy","12"
"2024-03-21T00:00:00Z","Biden","42.67"
"2024-03-21T00:00:00Z","Trump","44"
"2024-03-21T00:00:00Z","Kennedy","11"
"2024-03-22T00:00:00Z","Biden","41.83"
"2024-03-22T00:00:00Z","Trump","43"
"2024-03-22T00:00:00Z","Kennedy","9.5"
